Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
210622-SBR,SBR,Tuesday,Sandbar,2021,21-06,22-Jun,21-06-22,Wet,6/22/2021,11:09 AM,1,2,3,SSE 12 Gusts 18,0,0.02,0.95,29.92,103.3,6.81,25.09,8.12,0.5,1.99,41,,"Foam, floating vegetation, boat traffic, some plastic debris"
210622-SWP,SWP,Tuesday,Sweeting Park,2021,21-06,22-Jun,21-06-22,Wet,6/22/2021,12:38 PM,1,4,3,SE 18 Gusts 25,0,0.02,0.95,30.06,60.3,4.55,0.25,3.06,1.58,6.33,246,Fail,"Floating vegetation, floating garbage, film on surface"
210622-TR,TR,Tuesday,Tarpon River,2021,21-06,22-Jun,21-06-22,Wet,6/22/2021,11:35 AM,1,2,3,SSE 13 Gusts 25,0,0.02,0.95,29.7,70.9,5.04,11.91,13.27,1.34,5.35,538,Fail,"Floating and submerged vegetation, very low water level, film on surface"
210629-ABP,ABP,Tuesday,Annie Beck Park,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,11:17 AM,1,3,2,ESE 12,0.13,1.05,1.58,29.61,77.9,5.48,14.33,1.13,0.65,2.6,74,Fail,"Surface mostly clear, reduced clarity"
210629-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,1:00 PM,2,1,3,E 14,0.09,0.37,1.55,29.36,70.8,5.32,3.35,1.74,1.86,7.42,31,,"Floating vegetation/plastic debris, dead crab, brown film at waters edge, oil film"
210629-HC,HC,Tuesday,Himmarshee Canal,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,9:43 AM,2,3,2,ESE 10,0.09,0.37,1.55,28.94,68.4,5.08,6.63,1.17,1.44,5.75,146,Fail,"Some floating leaves and debris, school of fish, low water level"
210629-LS,LS,Tuesday,Lake Sylvia,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,11:55 AM,1,3,3,ESE 12,0.09,0.37,1.55,28.67,92.1,5.97,31.88,1.23,-0.07,-0.27,10,,"Submerged vegetation, bugs on surface, low tide"
210629-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,10:58 AM,1,3,4,E3,0.13,1.05,1.58,29.61,89.8,6.1,20.5,1.57,0.4,1.59,31,,"Surface clear, good clarity, people in water in middle of channel"
210629-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,10:04 AM,2,3,2,E 10,0.13,1.05,1.58,29.09,80.2,5.43,22.56,0.98,0.37,1.47,20,,"Surface mostly clear, some organic debris trapped in eddy in middle of channel"
210629-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,10:34 AM,2,3,2,E 10,0.13,1.05,1.58,29.23,84.7,5.7,23.35,0.62,0.41,1.62,10,,"Some foam and particulaltes, leaves, good flow"
210629-SBR,SBR,Tuesday,Sandbar,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,12:23 PM,2,1,2,ESE 16,0.09,0.37,1.55,29.56,110.8,7.26,27.28,0.75,0.54,2.17,31,,"Sailing class, little bit of floating vegetation, plastic debris, foam bubbles, smell fishy"
210629-SWP,SWP,Tuesday,Sweeting Park,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,1:26 PM,2,2,2,SSE 9,0.09,0.37,1.55,28.77,91,7.01,0.47,2.19,4.72,18.9,135,Fail,"Iguanas and ibis at waters edge, floating trash/vegetation, tire is gone, biofilm"
210629-TR,TR,Tuesday,Tarpon River,2021,21-06,29-Jun,21-06-29,Wet,6/29/2021,12:38 PM,2,1,3,ESE 13,0.09,0.37,1.55,29.95,83.4,6.1,6.02,1.03,1.6,6.39,305,Fail,"Debris/current going towards river, floating vegetation, biofilm, oil film"
210713-ABP,ABP,Tuesday,Annie Beck Park,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,11:14 AM,1,1,2,E 19,,0.2,0.2,29.23,70.9,5.08,10.54,0.97,0.44,1.78,31,,"Floating vegetation, bubbles, net in water, breezy"
210713-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,10:27 AM,2,3,2,E 17,2.18,2.29,2.47,28.98,58.9,4.5,1.3,1.75,1.14,4.55,85,Fail,"Dog playing in water, lots of floating vegetation, coconuts, plastic debris"
210713-HC,HC,Tuesday,Himmarshee Canal,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,11:00 AM,1,1,2,E 17,2.18,2.29,2.47,28.06,43.9,3.37,3.78,2.51,0.43,1.72,373,Fail,"Big fish, iguana, calm, floating vegetation, bird feaher on surface, plastic"
210713-LS,LS,Tuesday,Lake Sylvia,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,9:35 AM,2,3,2,E 12,2.18,2.29,2.47,28.75,81.7,5.55,23.14,0.52,0.22,0.89,52,,"Lots of seafoam bubbles, some floating vegetation, low-ish tide"
210713-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,9:54 AM,1,3,3,E 12,,0.2,0.2,29.95,84.6,5.8,17.83,1.12,0.24,0.94,74,Fail,"Boat went by, some floating vegetation, couple people in water nearby, calm, iguanas in area"
210713-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,10:45 AM,1,3,2,E 17,,0.2,0.2,29.23,64.8,4.58,14.46,0.8,0.28,1.11,110,Fail,"Floating vegetation, nice breeze, calm, insects on surface, plastic across the water"
210713-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,10:23 AM,1,3,3,E 17,,0.2,0.2,29.38,72.4,4.93,21.02,0.94,0.2,0.81,31,,"Water taxi went by, floating vegetation, people fishing nearby on seawall, bits of floating plastic"
210713-SBR,SBR,Tuesday,Sandbar,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,9:50 AM,1,3,3,E 12,2.18,2.29,2.47,28.83,86.4,5.97,20.07,0.71,0.37,1.49,75,Fail,"Fallen palm leaves and coconuts, mangrove propagules, other floating vegetation"
210713-SWP,SWP,Tuesday,Sweeting Park,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,10:48 AM,2,3,3,E 17,2.18,2.29,2.47,28.11,53.9,4.21,0.21,2.48,1.59,6.35,410,Fail,"Floating debris, plastic vegetation, coconuts"
210713-TR,TR,Tuesday,Tarpon River,2021,21-07,13-Jul,21-07-13,Wet,7/13/2021,10:01 AM,1,3,3,E 17,2.18,2.29,2.47,28.84,66.5,5.05,3.01,1.32,1.38,5.51,173,Fail,"Mid-tide, lots of floating vegetation, biofilm, oil film, water looks turbid"
210720-ABP,ABP,Tuesday,Annie Beck Park,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,10:48 AM,1,2,3,WSW 5,,,,31.07,90,5.96,21.05,2.82,0.49,1.95,97,Fail,"Floating vegetation, bubbles, sawdust in someone's backyard, low tide, fish"
210720-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,12:30 PM,1,3,3,SSE 17 Gusts 23,0,0,0.26,30.84,95.2,6.92,4.37,1.93,1.33,5.33,75,Fail,"Floating vegetation, low tide, brown, plastic debris, coconuts"
210720-HC,HC,Tuesday,Himmarshee Canal,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,10:28 AM,1,2,2,WSW 5,0,0,0.26,30.42,62.3,4.11,23.34,3.55,0.35,1.39,206,Fail,"Iguanas, ducks, flat water, hear birds squawking, fish, floating vegetation"
210720-LS,LS,Tuesday,Lake Sylvia,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,11:40 AM,1,4,2,SE 16 Gusts 24,0,0,0.26,30.28,96.7,6.26,27.33,0.7,0.04,0.17,10,,"Sargassum, very low tide, floating vegetation, clear water"
210720-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,9:32 AM,1,2,2,SSW 10,,,,30.27,83.6,5.7,18.06,0.43,0.53,2.13,10,,"Slight breeze, boat across the water, very little current, gardeners working across the water, smell cut grass, fish"
210720-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,10:13 AM,1,2,3,WSW 5,,,,30.56,77.6,5.07,24.76,2.92,0.2,0.81,20,,"Insects on surface, flat, calm, very little activity, nice breeze"
210720-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,9:54 AM,1,2,3,SSW 10,,,,30.55,90.9,5.96,24.08,0.44,0.36,1.44,10,,"Floating vegetation, bubbles, water taxi went by recently, fishes"
210720-SBR,SBR,Tuesday,Sandbar,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,11:59 AM,1,3,2,SSE 17 Gusts 23,0,0,0.26,30.97,100.2,6.46,26.15,25.82,-0.02,-0.07,10,,"Very low tide, boat activity, floating vegetation"
210720-SWP,SWP,Tuesday,Sweeting Park,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,12:50 PM,2,3,2,SSE 17 Gusts 23,0,0,0.26,29.88,78.3,5.92,0.28,3.24,1.54,6.18,134,Fail,"brown, floating vegetation, plastic debris, iguanas"
210720-TR,TR,Tuesday,Tarpon River,2021,21-07,20-Jul,21-07-20,Wet,7/20/2021,12:15 PM,1,3,1,SSE 17 Gusts 23,0,0,0.26,31.78,72.8,4.9,15.66,79.9,0.97,2.68,120,Fail,"Very low, brown, floating vegetation, plastic debris"
210727-ABP,ABP,Tuesday,Annie Beck Park,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,10:03 AM,1,3,1,SSE 3,,0.56,0.89,31.01,69.9,4.71,17.94,1.22,0.25,1.02,30,,"Surface mostly clear, some particulates, little to no flow"
210727-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,11:50 AM,2,2,3,SE 8,0,0.42,0.92,31.09,57,4.08,6.45,1.06,0.83,3.33,41,,"Floating vegetation, large yacht being towed by 2 boats, garbage on shore"
210727-HC,HC,Tuesday,Himmarshee Canal,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,9:45 AM,1,3,2,,0,0.42,0.92,30.69,55,3.93,8.18,0.66,0.52,2.08,75,Fail,"Leaves and small particulates on surface, plastic glove"
210727-LS,LS,Tuesday,Lake Sylvia,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,10:52 AM,1,3,3,SSE 3,0,0.42,0.92,38.15,94.8,5.95,33.34,0.31,-0.06,-0.23,10,,"Insects, small fish, boat lowered into water, little bits of styrofoam"
210727-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,10:21 AM,1,3,5,SSE 3,,0.56,0.89,31.36,80.6,5.28,21.79,0.56,0.21,0.84,10,,"Surface clear, debris in middle of channel"
210727-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,11:10 AM,1,1,Mixed (eddy),SE 8,,0.56,0.89,31.3,75.5,5.01,19.76,0.8,0.35,1.41,10,,"Film on surface, organic and plastic debris"
210727-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,10:44 AM,1,3,2,SSE 3,,0.56,0.89,31.08,84.2,5.47,24.51,1.23,0.33,1.31,5,,"Bubbles, work being done on floating dock (downstream)"
210727-SBR,SBR,Tuesday,Sandbar,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,11:15 AM,1,1,2,SE 8,0,0.42,0.92,31.06,99.1,6.28,29.1,0.34,0.13,0.53,5,,"Bubbles, 2 small motorboats nearby, about 14 sailboats (small), high tide, boat anchored nearby"
210727-SWP,SWP,Tuesday,Sweeting Park,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,12:13 PM,2,2,2,SE 11,0,0.42,0.92,30.59,69.1,5.13,1.41,2.16,3.92,15.69,160,Fail,"Fisherman, lots of floating vegetation, ducks, garbage, biofilm"
210727-TR,TR,Tuesday,Tarpon River,2021,21-07,27-Jul,21-07-27,Wet,7/27/2021,11:28 AM,1,1,1,SE 8,0,0.42,0.92,31.57,66.7,4.67,9.16,0.69,0.7,2.81,10,,"Gross film, floating vegetation, 2 coconuts, small fish, garbage, film looks like oil"
210803-ABP,ABP,Tuesday,Annie Beck Park,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,12:18 PM,2,3,3,SSE 13 Gusts 25,0,0,2.12,30.87,67.4,4.72,11.24,0.61,0.64,2.57,62,,"Low water level, film on surface, floating vegetation, one fisherman"
210803-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,11:12 AM,2,4,2,SSW 6,,0,1.92,30.66,50.7,3.77,1.33,1.49,1.01,4.05,10,,"Green on sand, flat, low tide, floating vegetation, low DO percent, fish?"
210803-HC,HC,Tuesday,Himmarshee Canal,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,11:55 AM,2,3,2,SSW 6,,0,1.92,30.21,54.9,3.98,6.79,0.48,0.66,2.63,148,Fail,"Floating vegetation, film on surface, brown color, slow moving"
210803-LS,LS,Tuesday,Lake Sylvia,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,10:15 AM,2,2,2,WSW 6,,0,1.92,30.98,77.6,5.13,21.42,0.64,0.14,0.55,5,,"Bubbles, boat with 3 fishermen, insects on surface, flat, low tide"
210803-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,10:54 AM,2,2,3,WSW 6,0,0,2.12,30.75,55.3,4.02,4.59,1.29,0.78,3.1,121,Fail,"Low tide, kayak and jet ski use, calm water, brown algae in water"
210803-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,12:36 PM,3,3,2,SSE 13 Gusts 25,0,0,2.12,30.42,75.8,5.27,13.92,0.21,0.49,1.96,10,,"Floating vegetation, very calm water, lots of water bugs"
210803-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,11:27 AM,2,4,3,SSW 6,0,0,2.12,31.17,83.3,5.49,21.44,0.4,0.73,2.92,5,,"Calm water, some floating vegetation, some bubbles/seafoam"
210803-SBR,SBR,Tuesday,Sandbar,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,10:35 AM,2,2,3,WSW 6,,0,1.92,30.68,87.9,5.87,20.69,1.36,0.28,1.13,5,,"3 Boats moving by, 4 small sail boats, a person in water near sailboats, bubbles, floating vegetation, garbage"
210803-SWP,SWP,Tuesday,Sweeting Park,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,11:36 AM,2,3,3,SSW 6,,0,1.92,29.03,34.5,2.65,0.22,2.17,1.49,5.95,622,Fail,"Iguanas, garbage, flat, floating vegetation, little bubbles floating to surface, low DO percent"
210803-TR,TR,Tuesday,Tarpon River,2021,21-08,3-Aug,21-08-03,Wet,8/3/2021,10:53 AM,2,4,2,WSW 6,,0,1.92,30.23,49.9,3.57,9.18,2.04,0.5,1.98,158,Fail,"Fishes, floating vegetation, garbage, low dissolved oxygen, flat, duck nearby"
210810-ABP,ABP,Tuesday,Annie Beck Park,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,12:00 PM,1,2,2,ESE 11,0.09,0.19,1.09,31.76,79.6,5.38,15.03,0.94,0.42,1.67,63,,"Lots of floating vegetation, biofilm, small fish"
210810-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,2:20 PM,1,2,2,E 12 Gusts 21,0.05,0.27,2.03,31.49,75.7,5.47,3.57,1.16,1.38,5.51,30,,"Lots of fish, coconuts, floating vegetation, plastic debris"
210810-HC,HC,Tuesday,Himmarshee Canal,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,11:50 AM,1,2,3,ESE 11,0.05,0.27,2.03,30.79,50.3,3.56,9.74,0.82,0.46,1.86,85,Fail,"Small fish, very little floating vegetation"
210810-LS,LS,Tuesday,Lake Sylvia,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,1:25 PM,1,2,2,ESE 13,0.05,0.27,2.03,31.56,101.9,6.4,27.38,0.45,0.29,1.14,5,,"High tide, water pretty green, some fish and crabs, floating vegetation"
210810-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,12:54 PM,1,2,3,Var 6,0.09,0.19,1.09,32.59,87.7,5.96,11.59,0.78,0.79,3.17,183,Fail,"Smelly, green water, some fish, road work nearby, brown algae"
210810-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,11:37 AM,1,2,3,ESE 11,0.09,0.19,1.09,31.38,80.9,5.44,17.17,0.68,0.4,1.62,20,,"Some biofilm, no other floating debris, no smell"
210810-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,11:11 AM,1,2,2,ESE 11,0.09,0.19,1.09,31.36,80.5,5.31,20.64,0.57,0.23,0.94,31,,"Boat activity, small fish, small foam bubbles, nothing floating"
210810-SBR,SBR,Tuesday,Sandbar,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,1:49 PM,1,2,3,ESE 13,0.05,0.27,2.03,32.27,115.8,7.38,24.32,0.84,0.44,1.76,5,,"People fishing, floating vegetation, boat activity, small fish and crabs"
210810-SWP,SWP,Tuesday,Sweeting Park,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,2:38 PM,1,2,2,E 12 Gusts 21,0.05,0.27,2.03,30.08,67.6,5.1,0.26,1.98,2.25,9.02,160,Fail,"Very brown, lots of iguanas, floating vegetation and plastic"
210810-TR,TR,Tuesday,Tarpon River,2021,21-08,10-Aug,21-08-10,Wet,8/10/2021,2:00 PM,1,2,1,E 12 Gusts 21,0.05,0.27,2.03,32.41,87.3,6.01,9.91,1.26,0.89,3.57,63,,"Very brown, floating vegetation, brown algae"
210817-ABP,ABP,Tuesday,Annie Beck Park,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,10:39 AM,1,4,3,ESE 12,,0.18,0.79,30.86,76.5,5.24,15.34,6.24,0.51,2.06,10,,"Manatee, low water level, leaves and organic debris on surface"
210817-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,12:50 PM,2,3,1,E 9,0,0.43,0.95,30.54,65.4,4.84,2.22,1.68,1.06,4.22,402,Fail,"Children fishing, lots of floating vegetation, brown, small fish"
210817-HC,HC,Tuesday,Himmarshee Canal,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,12:04 PM,1,3,2,E 9,0,0.43,0.95,30.91,64.9,4.51,12.31,1.39,0.53,2.1,161,Fail,"""clean waterways"" working in typical spot, sample taken just downstream, low water level, brown, leaves on surface"
210817-LS,LS,Tuesday,Lake Sylvia,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,12:05 PM,1,3,2,E 9,0,0.43,0.95,30.51,80,5.33,21.42,0.55,0.23,0.94,5,,"Puffer fish, brown algae, low tide, some floating vegetation"
210817-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,11:03 AM,1,3,2,ESE 10,,0.18,0.79,30.97,67.1,4.71,10.8,1.09,0.44,1.74,20,,"Some foam and organic debris, calm"
210817-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,11:48 AM,1,3,2,ESE 10,,0.18,0.79,31,79.8,5.4,17.08,0.28,0.5,1.99,10,,"Low water level, some particulates on surface"
210817-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,11:28 AM,1,3,3,ESE 10,,0.18,0.79,30.74,62,4.19,18.1,0.28,0.22,0.89,5,,"Surface clear, calm"
210817-SBR,SBR,Tuesday,Sandbar,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,12:25 PM,1,3,2,E 9,0,0.43,0.95,31.59,100.9,6.7,18.82,0.73,0.22,0.87,5,,"Lots of sargassum, floating vegettation, boat activity, low, brrown"
210817-SWP,SWP,Tuesday,Sweeting Park,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,1:05 PM,2,3,3,E 12,0,0.43,0.95,30.45,81,6.07,0.25,2.65,3.02,12.08,155,Fail,"Very brown, iguanas, low tide"
210817-TR,TR,Tuesday,Tarpon River,2021,21-08,17-Aug,21-08-17,Wet,8/17/2021,12:25 PM,1,3,3,E 9,0,0.43,0.95,31.51,70.4,4.85,12.03,1.63,0.38,1.52,52,,"Smelly, brown, small crabs, low tide, brown sludge"
210824-ABP,ABP,Tuesday,Annie Beck Park,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:44 PM,2,2,3,SE 12,,,,31.88,84,5.4,23.85,0.86,0.41,1.65,111,Fail,Floating vegetation. Power boat went by during sample collection.
210824-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,2:06 PM,2,2,3,SE 16,0,0,0,31.76,75,5.17,13.54,0.76,0.65,2.59,30,,Lots of debris: organic and trash. Algae on sandy bottom.
210824-HC,HC,Tuesday,Himmarshee Canal,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:56 PM,2,2,3,ESE 13 G 20,0,0,0,31.3,64.4,4.22,21.87,0.68,0.33,1.31,164,Fail,"Slow current, some vegetation underwater, oxygenation device to the left of sampling site. Flat water conditions."
210824-LS,LS,Tuesday,Lake Sylvia,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:02 PM,2,2,2,SE 12,0,0,0,31.17,96.7,6,32.58,0.63,0,0.02,5,,"Clear water, strong flow."
210824-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,12:53 PM,1,2,3,SE 13,,,,32.22,88.8,5.74,22.12,0.42,0.26,1.06,5,,"Floating vegetation, kayaker across the water (2 additional kayers later in sampling). Quiet, fish pres present."
210824-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:30 PM,2,2,3,SE 12,,,,31.66,78.1,4.97,26.62,0.72,0.21,0.83,5,,"Bugs on surface. Calm, quiet."
210824-SB,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:11 PM,2,2,3,SE 12,,,,31.87,87.1,5.51,27.15,0.42,0.28,1.12,5,,"Some boat traffic, floating vegetation, slightly wavy. Three jetskis to the right of sampling site. Two iguanas."
210824-SBR,SBR,Tuesday,Sandbar,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:22 PM,1,2,2,SE 12,0,0,0,31.37,110.5,6.87,31.55,0.88,0.14,0.55,5,,"Sargassum, foam, some leaves. Choppy water."
210824-SWP,SWP,Tuesday,Sweeting Park,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,2:27 PM,1,2,3,SE 16,0,0,0,31.13,91.1,6.65,2.82,2.27,4.73,18.94,220,Fail,Surface mostly clear. Lots of leaves near shore.
210824-TR,TR,Tuesday,Tarpon River,2021,21-08,24-Aug,21-08-24,Wet,8/24/2021,1:35 PM,2,2,1,SE 12,0,0,0,31.91,77.9,5.09,20.95,0.91,1.02,4.09,70,,"Stagnant, film, leaves, and plastic on surface."
210831-ABP,ABP,Tuesday,Annie Beck Park,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,12:10 PM,2,3,3,,,,,31.73,78.1,5.11,21.04,0.58,0.25,0.98,20,,"Tree trimmings in water, floating vegetation, biofilm"
210831-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,1:31 PM,1,3,3,Var 5,,,0.48,31.401,65.2,4.65,6.19,0.94,0.91,3.64,5,,"Floating vegetation, low tide, can hear construction nearby. Green on the bottom."
210831-HC,HC,Tuesday,Himmarshee Canal,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,12:00 PM,1,3,2,,,,0.48,31.5,79.4,5.36,16.06,0.92,0.34,1.38,107,Fail,"Water cleaning barge present, seafoam from barge, some trash"
210831-LS,LS,Tuesday,Lake Sylvia,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,12:41 PM,1,3,2,,,,0.48,31.66,95,5.95,29.17,0.21,0.06,0.22,10,,"Floating vegetation, some floating garbage, flying insects close to the surface. Flat surface. Bits of sargassum"
210831-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,11:05 AM,1,3,1,,,,,31.82,81.3,5.32,20.85,0.55,0.17,0.67,5,,"Fish, brown algae on sand (submerged)"
210831-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,11:45 AM,1,3,2,,,,,31.66,88.1,5.6,26.73,0.56,0.14,0.57,20,,"Little to no floating debris, some biofilm"
210831-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,11:27 AM,1,3,2,,,,,31.37,86.8,5.51,27.63,0.52,0.1,0.39,5,,"Floating trash, biofilm, boat activities"
210831-SBR,SBR,Tuesday,Sandbar,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,12:58 PM,2,3,2,,,,0.48,32.242,131.1,8.22,27.55,0.3,0.19,0.75,5,,"2 anchored boats ahead, some sargassum, nice breeze, a piece of garbage on surface."
210831-SWP,SWP,Tuesday,Sweeting Park,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,1:51 PM,1,3,2,Var 5,,,0.48,31.074,89.5,6.6,1.06,1.22,2.97,11.87,85,Fail,"Floating vegetation, small fish, some garbage. Flat."
210831-TR,TR,Tuesday,Tarpon River,2021,21-08,31-Aug,21-08-31,Wet,8/31/2021,1:10 PM,2,3,1,Var 5,,,0.48,31.981,71,4.79,14.73,2.55,0.84,3.38,73,Fail,"Lots of floating vegetation, some garbage, possible biofilm on surface. Clumps of dirt."
210907-ABP,ABP,Tuesday,Annie Beck Park,2021,21-09,7-Sep,21-09-07,Wet,9/7/2021,2:48 PM,1,4,3,SE 11,,,,31.99,81.4,5.31,20.91,0.94,0.44,1.76,75,Fail,"Crab, small fish. Floating vegetation, brown algae, biofilm, very low tide."
210907-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-09,7-Sep,21-09-07,Wet,9/7/2021,12:49 PM,1,2,3,ENE 5,,,,30.769,60.8,4.35,7.76,0.75,0.6,2.41,63,,"Foam, organic debris. Good clarity. Some brown algal clumps."
